iter	Passed	Remaining
1047	13584	12339
1048	13596	12326
1049	13609	12313
1050	13622	12300
1051	13635	12287
1052	13647	12273
1053	13660	12260
1054	13673	12247
1055	13686	12234
1056	13698	12221
1057	13712	12208
1058	13726	12196
1059	13738	12183
1060	13752	12170
1061	13765	12158
1062	13778	12145
1063	13791	12132
1064	13803	12118
1065	13816	12105
1066	13829	12092
1067	13842	12079
1068	13855	12066
1069	13867	12053
1070	13881	12040
1071	13894	12028
1072	13907	12015
1073	13920	12002
1074	13933	11989
1075	13946	11976
1076	13959	11963
1077	13972	11950
1078	13984	11936
1079	13996	11923
1080	14009	11909
1081	14022	11896
1082	14035	11883
1083	14047	11870
1084	14060	11857
1085	14073	11844
1086	14085	11830
1087	14097	11817
1088	14110	11803
1089	14123	11791
1090	14135	11777
1091	14147	11763
1092	14159	11750
1093	14172	11737
1094	14185	11724
1095	14198	11710
1096	14210	11697
1097	14222	11683
1098	14234	11670
1099	14247	11656
1100	14259	11643
1101	14272	11630
1102	14284	11617
1103	14296	11603
1104	14309	11590
1105	14321	11576
1106	14334	11563
1107	14346	11549
1108	14359	11536
1109	14371	11522
1110	14383	11509
1111	14395	11495
1112	14407	11481
1113	14419	11468
1114	14431	11454
1115	14444	11441
1116	14456	11427
1117	14468	11414
1118	14481	11401
1119	14493	11388
1120	14506	11374
1121	14518	11361
1122	14531	11348
1123	14544	11335
1124	14556	11321
1125	14568	11307
1126	14580	11294
1127	14592	11280
1128	14604	11266
1129	14616	11253
1130	14629	11240
1131	14644	11228
1132	14657	11215
1133	14670	11203
1134	14682	11189
1135	14695	11176
1136	14706	11162
1137	14718	11148
1138	14730	11134
1139	14742	11121
1140	14754	11108
1141	14767	11095
1142	14779	11081
1143	14791	11067
1144	14803	11054
1145	14815	11040
1146	14827	11027
1147	14839	11013
1148	14852	11000
1149	14864	10986
1150	14877	10973
1151	14889	10960
1152	14901	10946
1153	14913	10933
1154	14926	10920
1155	14939	10907
1156	14952	10894
1157	14964	10880
1158	14977	10867
1159	14990	10854
1160	15002	10841
1161	15015	10828
1162	15027	10815
1163	15040	10801
1164	15052	10788
1165	15063	10774
1166	15076	10761
1167	15088	10747
1168	15100	10734
1169	15113	10721
1170	15125	10708
1171	15138	10695
1172	15151	10681
1173	15164	10669
1174	15176	10655
1175	15189	10642
1176	15201	10629
1177	15214	10616
1178	15226	10603
1179	15240	10590
1180	15252	10577
1181	15265	10564
1182	15279	10552
1183	15292	10539
